,LONGITUDE,LATITUDE
42271,-115.67166667,46.905
42272,-115.14833333,46.82333333
42273,-115.27,46.80166667
42274,-115.28833333,46.76333333
42275,-115.54333333,46.87
42276,-115.52333333,46.87
42277,-115.13666667,46.82333333
42278,-115.08833333,46.67333333
42279,-115.33833333,46.77833333
42280,-115.34666667,46.76333333
42281,-115.35666667,46.72333333
42282,-115.19833333,46.87
42283,-115.28833333,46.63666667
42284,-115.075,46.83333333
42285,-115.4,46.93833333
42286,-115.56333333,46.88333333
42287,-115.64333333,46.955
42288,-115.14,46.77
42289,-114.97166667,46.855
42290,-115.24166667,46.69
42291,-115.5,46.81166667
42292,-115.08666667,46.705
42293,-115.04333333,46.79833333
42294,-115.52833333,46.84333333
42295,-115.04333333,46.79166667
42296,-115.50833333,46.84833333
42297,-115.81166667,46.68
42298,-115.585,46.88333333
42299,-115.52333333,46.88333333
42300,-115.05,46.82666667
42301,-115.03333333,46.78
42302,-115.03,46.795
42303,-115.06,46.81
42304,-115.05333333,46.81833333
42305,-115.03333333,46.805
42306,-115.035,46.80833333
42307,-115.045,46.78166667
42308,-115.04,46.81
42309,-115.615,46.68166667
42310,-115.02833333,46.73833333
42311,-115.31166667,46.86333333
42312,-114.96333333,46.84833333
42313,-115.22,46.85833333
42314,-115.225,46.82
42315,-115.27666667,46.81833333
42316,-115.25666667,46.835
42317,-115.29166667,46.84333333
42318,-115.24833333,46.825
42319,-115.11833333,46.85166667
42320,-114.97166667,46.84333333
42321,-115.22166667,46.82
42322,-115.265,46.84
42323,-115.24166667,46.78833333
42324,-115.335,46.78833333
42325,-115.61,46.65666667
42326,-115.57833333,46.67666667
42327,-115.58333333,46.66
42328,-115.155,46.82
42329,-115.31,46.74833333
42330,-115.13,46.78
42331,-115.16833333,46.76
42332,-115.19833333,46.79833333
42333,-115.295,46.77833333
42334,-115.345,46.695
42335,-115.355,46.76666667
42336,-115.535,46.7
42337,-115.47333333,46.84833333
42338,-115.58333333,46.66
42339,-115.39333333,46.74
42340,-115.45,46.7
42341,-115.29,46.76333333
42342,-115.23833333,46.75833333
42343,-115.00333333,46.785
42344,-115.17333333,46.81166667
42345,-115.32,46.755
42346,-115.36,46.95666667
42347,-115.08666667,46.77666667
42348,-115.065,46.74666667
42349,-115.715,46.73
42350,-115.78,46.73833333
42351,-115.75833333,46.71
42352,-115.76333333,46.13166667
42353,-115.75,46.14166667
42354,-115.55166667,46.25333333
42355,-115.46833333,46.24166667
42356,-115.53,46.26166667
42357,-115.51,46.28833333
